Company,Ticker,Sector,Year,Revenue,Profit,Assets,Liabilities,Dividends
Mongol Mining,MGLM,Mining,2024,100000000,20000000,50000000,10000000,2000000
Mongol Mining,MGLM,Mining,2023,85000000,15000000,45000000,12000000,1500000
Mongol Mining,MGLM,Mining,2022,75000000,12000000,40000000,15000000,1000000
Erdenet Copper,ERDC,Mining,2024,200000000,40000000,150000000,50000000,5000000
Erdenet Copper,ERDC,Mining,2023,180000000,35000000,140000000,55000000,4500000
Erdenet Copper,ERDC,Mining,2022,160000000,30000000,130000000,60000000,4000000
Gobi Cashmere,GBCA,Textiles,2024,50000000,8000000,30000000,8000000,1000000
Gobi Cashmere,GBCA,Textiles,2023,45000000,7000000,28000000,9000000,800000
Gobi Cashmere,GBCA,Textiles,2022,40000000,6000000,25000000,10000000,600000
APU Corporation,APUC,Technology,2024,30000000,5000000,20000000,5000000,500000
APU Corporation,APUC,Technology,2023,25000000,4000000,18000000,6000000,400000
APU Corporation,APUC,Technology,2022,20000000,3000000,15000000,7000000,300000
Khan Bank,KHAN,Financial,2024,800000000,120000000,5000000000,4500000000,60000000
Khan Bank,KHAN,Financial,2023,750000000,110000000,4800000000,4300000000,55000000
Khan Bank,KHAN,Financial,2022,700000000,100000000,4500000000,4000000000,50000000
Trade Development Bank,TDB,Financial,2024,600000000,90000000,4000000000,3600000000,45000000
Trade Development Bank,TDB,Financial,2023,550000000,80000000,3800000000,3400000000,40000000
Trade Development Bank,TDB,Financial,2022,500000000,70000000,3500000000,3100000000,35000000
Mongolian Airlines,MAIR,Transportation,2024,120000000,15000000,80000000,20000000,2000000
Mongolian Airlines,MAIR,Transportation,2023,100000000,10000000,75000000,25000000,1000000
Mongolian Airlines,MAIR,Transportation,2022,80000000,5000000,70000000,30000000,0
Gobi Energy,GOBI,Energy,2024,150000000,25000000,100000000,30000000,3000000
Gobi Energy,GOBI,Energy,2023,130000000,20000000,90000000,35000000,2500000
Gobi Energy,GOBI,Energy,2022,110000000,15000000,80000000,40000000,2000000
